,Input [MCM],Demand [MCM],Evaporation [mm]
2006-12-31,0.9123839999999999,1.8999999999999997,0.0
2007-01-31,3.601152000000001,6.014000000000002,0.0
2007-02-28,4.92912,6.1880000000000015,0.0
2007-03-31,9.491904000000002,13.105000000000002,0.0
2007-04-30,48.912768,30.845000000000002,0.0
2007-05-31,49.402656,36.145999999999994,0.0
2007-06-30,8.015327999999998,21.054000000000006,0.0
2007-07-31,2.8425599999999984,3.9680000000000026,0.0
2007-08-31,4.001184,4.175,0.0
2007-09-30,0.658368,1.2570000000000003,0.0
2007-10-31,0.7343999999999999,1.2750000000000001,0.0
2007-11-30,3.889728,12.377999999999998,0.0
2007-12-31,4.782239999999999,6.3580000000000005,0.0
2008-01-31,1.9906560000000013,0.0,0.0
2008-02-29,4.865183999999998,0.0,0.0
2008-03-31,17.8848,2.401,0.0
2008-04-30,19.970495999999997,2.5489999999999995,0.0
2008-05-31,4.350239999999998,2.6659999999999995,0.0
2008-06-30,0.813888,2.5799999999999996,0.0
2008-07-31,1.3245119999999995,2.971,0.0
2008-08-31,0.13651199999999997,2.448000000000001,0.0
2008-09-30,0.945216,1.0610000000000004,0.0
2008-10-31,2.801088000000001,1.1819999999999997,0.0
2008-11-30,3.4896959999999995,0.426,0.0
2008-12-31,1.4817600000000002,0.6650000000000003,0.0
2009-01-31,2.1755519999999997,0.2260000000000001,0.073099415
2009-02-28,2.852928000000001,0.11200000000000007,0.0
2009-03-31,6.754751999999999,0.538,0.0
2009-04-30,13.214016,6.590000000000001,0.028174978
2009-05-31,6.472223999999998,11.579000000000006,0.286526136
2009-06-30,5.3369279999999995,2.7419999999999995,0.011347131
2009-07-31,0.576288,2.528000000000001,0.0
2009-08-31,0.152928,2.2700000000000014,1.427469136
2009-09-30,0.35251200000000005,2.1449999999999987,5.361665545000002
2009-10-31,1.0972800000000003,1.2730000000000006,0.0
2009-11-30,8.155296,8.061000000000002,0.0
2009-12-31,1.9932480000000001,14.981999999999998,0.0
2010-01-31,4.288896000000001,0.1840000000000001,0.0
2010-02-28,5.807807999999999,0.11600000000000008,0.0
2010-03-31,17.788032,0.1310000000000001,0.0
2010-04-30,25.265088,0.9699999999999998,0.017794638999999998
2010-05-31,23.25542399999998,2.773000000000001,0.09177240699999997
2010-06-30,2.5099199999999997,3.312,1.077675339
2010-07-31,0.09331200000000002,4.312,12.731481484000003
2010-08-31,0.145152,4.108999999999999,18.295739340000008
2010-09-30,0.14688,3.1069999999999993,27.97600041500001
2010-10-31,0.15379200000000012,1.3489999999999998,12.461419748999996
2010-11-30,0.06825599999999997,1.1600000000000001,14.467592591000002
2010-12-31,0.6445440000000001,0.5700000000000002,11.378602458999994
2011-01-31,2.7535679999999987,0.1770000000000001,0.7226377729999999
2011-02-28,3.356639999999999,0.10900000000000007,0.720637908
2011-03-31,9.956736000000001,0.22800000000000006,0.12105787900000002
2011-04-30,33.1344,1.1509999999999998,0.03507349700000001
2011-05-31,22.343040000000002,1.9620000000000006,0.07904862600000001
2011-06-30,1.4852159999999994,2.9889999999999977,0.906019039
2011-07-31,0.7741439999999995,2.8790000000000013,1.3654673329999998
2011-08-31,0.584064,2.9450000000000016,1.690660925
2011-09-30,0.7300799999999998,2.5779999999999994,1.7072275109999993
2011-10-31,0.9901440000000002,1.158,1.802178131
2011-11-30,2.7889919999999986,0.21000000000000013,0.5571469930000005
2011-12-31,2.191968,0.21700000000000014,0.438448724
2012-01-31,2.11248,0.1840000000000001,1.3024130969999999
2012-02-29,3.0335039999999998,0.11600000000000008,3.574632683
2012-03-31,7.324991999999999,0.12400000000000008,3.722071981
2012-04-30,53.45654399999999,0.09700000000000006,3.357547308999999
2012-05-31,44.60227199999999,0.291,3.3539001120000007
2012-06-30,4.935167999999999,2.043999999999999,3.3922459119999995
2012-07-31,1.9327679999999994,2.8499999999999996,3.498575533
2012-08-31,0.5071679999999998,4.113999999999998,3.594061098
2012-09-30,0.20563199999999995,2.801,3.593089852
2012-10-31,0.9426239999999999,1.3790000000000002,3.7813528380000005
2012-11-30,5.449248,0.7040000000000004,3.6407358860000003
2012-12-31,4.1903999999999995,0.12500000000000008,3.697098533
2013-01-31,3.1406399999999994,0.12400000000000008,4.819527181000001
2013-02-28,3.181247999999999,0.11200000000000007,4.187207941
2013-03-31,11.930976000000006,0.12600000000000008,4.571734557
2013-04-30,16.295903999999993,1.02,4.019354907000001
2013-05-31,12.313727999999998,1.9669999999999992,3.992288187
2013-06-30,1.404864000000001,3.4279999999999995,3.772793943
2013-07-31,0.24796800000000008,4.709999999999999,4.035500948
2013-08-31,0.20563199999999998,5.981999999999999,4.118408049
2013-09-30,1.090368,3.817999999999999,4.288208701999999
2013-10-31,0.4959360000000001,2.4210000000000003,4.548685312
2013-11-30,1.1750399999999999,1.0320000000000003,4.449493813000001
2013-12-31,3.2348160000000004,0.8330000000000005,4.390640001
2014-01-31,2.4027840000000005,0.8330000000000005,4.479746217999999
2014-02-28,2.892672,0.7610000000000005,3.9945070090000003
2014-03-31,10.128671999999996,0.7020000000000004,4.2364995489999995
2014-04-30,19.408032000000002,1.3359999999999999,3.6550860959999993
2014-05-31,11.327040000000002,3.3079999999999994,3.7665364759999997
2014-06-30,1.8472320000000007,4.7,3.6893750570000003
2014-07-31,5.331743999999999,5.642999999999999,3.864065626999999
2014-08-31,1.4290560000000003,8.230999999999998,4.055691544
2014-09-30,0.753408,4.274,4.118392307
2014-10-31,4.0305599999999995,1.665000000000001,4.309776964999999
2014-11-30,2.932416,0.7490000000000003,4.097662407
2014-12-31,3.8733119999999985,0.8330000000000005,4.153185978
2015-01-31,2.2049280000000007,0.8330000000000005,4.0849493
2015-02-28,4.364928,0.7610000000000005,3.6354004890000007
2015-03-31,7.327584000000001,0.7010000000000004,3.8949601850000004
2015-04-30,20.812032,1.326,3.4934768710000004
2015-05-31,8.967455999999999,4.1800000000000015,3.5694684469999993
2015-06-30,0.5927039999999999,6.480000000000004,3.606588333
2015-07-31,0.7542720000000002,6.1659999999999995,3.914358608
2015-08-31,0.698112,5.2459999999999996,3.9683406660000005
2015-09-30,1.040256,5.191999999999999,4.133304578
2015-10-31,1.6752959999999997,1.7789999999999995,4.381996688000001
2015-11-30,3.9813120000000013,0.7900000000000005,4.1881755290000005
2015-12-31,2.179872,0.8330000000000005,4.120019826
2016-01-31,3.740255999999999,0.8330000000000005,4.190293135
2016-02-29,5.374079999999998,0.7890000000000005,3.8219680290000007
2016-03-31,13.541471999999999,1.1060000000000008,3.867748606
2016-04-30,30.494879999999995,1.5130000000000006,3.3807203490000015
2016-05-31,14.367456000000002,3.304,3.4465643589999995
2016-06-30,4.067711999999999,5.465000000000002,3.395782445999999
2016-07-31,0.17798400000000003,6.823999999999999,3.622277564999999
2016-08-31,0.282528,7.726,3.854275778999998
2016-09-30,0.7283520000000001,3.828,3.904464705
2016-10-31,0.55728,2.098,4.132886036
2016-11-30,0.32054400000000005,0.7800000000000005,4.025816746999999
2016-12-31,5.628096000000002,0.8060000000000005,4.067582557000001
2017-01-31,2.2826879999999994,0.8060000000000005,4.000655127000001
2017-02-28,3.289247999999999,0.7280000000000004,3.5647362069999993
2017-03-31,9.4176,0.8060000000000005,3.839008517
2017-04-30,45.10771200000001,0.3640000000000001,3.404388418000001
2017-05-31,14.280192,2.8989999999999996,3.4789873920000005
2017-06-30,0.5970239999999999,8.361000000000002,3.5817996420000004
2017-07-31,0.29807999999999996,11.353000000000003,4.050167281
2017-08-31,0.20908800000000002,11.884,5.0173187
2017-09-30,0.36288,3.8790000000000013,5.324618656
2017-10-31,0.8942399999999999,1.714999999999999,5.849447297999999
2017-11-30,0.7231679999999999,0.8310000000000005,5.698242920999996
2017-12-31,0.8588159999999996,0.8060000000000005,5.891564786999996
2018-01-31,2.1496320000000004,0.8920000000000006,5.869599949
2018-02-28,10.262592000000003,0.7280000000000004,5.069625257999999
2018-03-31,20.372255999999997,0.8910000000000006,4.918536743999999
2018-04-30,18.194976000000004,1.5189999999999997,4.1006319069999995
2018-05-31,24.671519999999997,2.1550000000000002,3.702724471999999
2018-06-30,3.143232,7.271000000000001,3.414044396000001
2018-07-31,0.095904,10.425,3.814611562
2018-08-31,0.130464,10.510000000000002,4.685751966999999
2018-09-30,0.15292799999999998,7.4239999999999995,5.151810310999999
2018-10-31,0.9417599999999999,1.5989999999999993,5.539012589999999
2018-11-30,2.7285120000000007,0.5460000000000004,5.3090282129999995
2018-12-31,5.107967999999999,0.5270000000000004,5.306947695000001
2019-01-31,5.129567999999998,0.5990000000000003,5.110035290999999
2019-02-28,5.897663999999998,0.5030000000000003,4.392292997999999
2019-03-31,9.454752000000001,1.189,4.632640376999999
2019-04-30,36.482400000000005,2.130000000000001,4.097815218
2019-05-31,49.365503999999994,3.6720000000000006,3.723047447000001
2019-06-30,10.079423999999994,7.656999999999999,3.5261532720000006
2019-07-31,0.15984000000000007,10.827,3.859589763
2019-08-31,0.22636799999999993,10.401999999999992,4.307446994999999
2019-09-30,0.10368000000000001,7.213000000000003,5.046817139000002
2019-10-31,0.3672000000000001,2.686999999999998,6.053083040000004
2019-11-30,1.9249919999999998,0.5100000000000003,4.118518509000001
2019-12-31,4.165344,0.5270000000000004,0.0
2020-01-31,3.8767680000000007,0.5270000000000004,0.0
2020-02-29,5.605631999999998,0.8380000000000001,0.0
2020-03-31,10.737791999999999,4.117999999999999,1.977390246
2020-04-30,34.612704,3.4479999999999986,4.431183308
2020-05-31,25.674624,19.280999999999995,3.913381111
2020-06-30,0.4475519999999999,9.984,3.9088663849999996
2020-07-31,0.9063359999999999,11.851000000000003,4.423241250000001
2020-08-31,0.47347199999999995,16.576999999999995,5.040664276
2020-09-30,0.12959999999999997,11.046000000000006,5.698572639
2020-10-31,0.25488,2.5889999999999995,6.342114837999997
2020-11-30,4.4712,0.47900000000000026,6.1016908920000015
2020-12-31,5.431104,0.5270000000000004,5.9470704549999995
2021-01-31,3.128544,0.4420000000000003,4.812235906999999
